ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_UC3870AA_AS	ST305761		KwaZulu-Natal					SAL_LB9955AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14452846	ERS12074649	ERP123572				Minnesota	Animal meat	Food	Food	YA00319057	PRJEB39988			379955
SAL_UC3871AA_AS	ST305759		KwaZulu-Natal					SAL_LB9956AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14452847	ERS12074650	ERP123572				Minnesota	Animal meat	Food	Food	YA00319058	PRJEB39988			379956
SAL_UC3872AA_AS	ST305760		KwaZulu-Natal					SAL_LB9957AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14452848	ERS12074651	ERP123572				Minnesota	Animal meat	Food	Food	YA00319053	PRJEB39988			379957
SAL_UC3873AA_AS	ST305762		KwaZulu-Natal					SAL_LB9958AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14453027	ERS12074830	ERP123572				Minnesota	Animal meat	Food	Food	YA00319062	PRJEB39988			379958
SAL_UC3879AA_AS	ST305766		KwaZulu-Natal					SAL_LB9964AA		15	3		2022		"Anthony Smith, NICD"	Africa	South Africa	26/05/2022							26/05/2022	SAMEA14453033	ERS12074836	ERP123572				Minnesota	Animal meat	Food	Food	YA00319055	PRJEB39988			379964
SAL_VC0794AA_AS	ST311285							SAL_MB6451AA			5		2022		Public Health England	Europe	United Kingdom	10/06/2022							10/06/2022	SAMN28945997	SRS13351914	SRP042645				Minnesota	food	Food	ND/Others	1642675	PRJNA248792	I		386451
SAL_VC0798AA_AS	ST311281							SAL_MB6455AA			5		2022		Public Health England	Europe	United Kingdom	10/06/2022							10/06/2022	SAMN28945994	SRS13351834	SRP042645				Minnesota	food	Food	ND/Others	1642673	PRJNA248792	I		386455
SAL_VC0800AA_AS	ST311282							SAL_MB6457AA			5		2022		Public Health England	Europe	United Kingdom	10/06/2022							10/06/2022	SAMN28946004	SRS13351831	SRP042645				Minnesota	food	Food	ND/Others	1642629	PRJNA248792	I		386457
SAL_VC0909AA_AS	ST311191							SAL_MB6719AA			6		2022		Public Health England	Europe	United Kingdom	13/06/2022							13/06/2022	SAMN28968407	SRS13374159	SRP042645				Minnesota	food	Food	ND/Others	1643259	PRJNA248792	I		386719
SAL_VC0915AA_AS	ST311188							SAL_MB6725AA			6		2022		Public Health England	Europe	United Kingdom	13/06/2022							13/06/2022	SAMN28968409	SRS13374107	SRP042645				Minnesota	food	Food	ND/Others	1643284	PRJNA248792	I		386725
SAL_VC0921AA_AS	ST311181							SAL_MB6731AA			6		2022		Public Health England	Europe	United Kingdom	13/06/2022							13/06/2022	SAMN28968416	SRS13374052	SRP042645				Minnesota	food	Food	ND/Others	1643255	PRJNA248792	I		386731
SAL_VC1617AA_AS	ST311943							SAL_MB7593AA			8		2020		Saudi Food and Drug Authority		Saudi Arabia	21/06/2022			26.4207	50.0888			21/06/2022	SAMN28815171	SRS13496825	SRP382798					Poultry	Poultry	Poultry	Minnesota	PRJNA844381			387593
SAL_VC1618AA_AS	ST311943							SAL_MB7594AA			8		2020		Saudi Food and Drug Authority		Saudi Arabia	21/06/2022			26.4207	50.0888			21/06/2022	SAMN28815320	SRS13496659	SRP382792				Minnesota	Poultry	Poultry	Poultry	SM49319	PRJNA844392	I		387594
