ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_JB0837AA_AS	ST169376							SAL_VA2836AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	08/02/2019							07/02/2019	SAMN10393188	SRS4337841	SRP028607				Minnesota	Culture (Gallus gallus)	Poultry	Poultry	ULBRA-SA287	PRJNA183850	I		212836
SAL_JB1151AA_AS	ST168178							SAL_VA3121AA			8		2017		Public Health England	Europe	United Kingdom	09/02/2019							08/02/2019	SAMN10887418	SRS4342073	SRP042645				Minnesota	food	Food	ND/Others	408539	PRJNA248792	I		213121
SAL_JB4494AA_AS	ST171229							SAL_VA4404AA			7		2017		Public Health England	Europe	United Kingdom	11/02/2019							10/02/2019	SAMN10907577	SRS4346948	SRP042645				Minnesota	Homo sapiens; human	Human	Human	389730	PRJNA248792	I		214404
SAL_KB0672AA_AS	ST172958							SAL_VA9014AA			10		2016		Public Health England	Europe	United Kingdom	04/03/2019							04/03/2019	SAMN11046485	SRS4432266	SRP042645				Minnesota	Homo sapiens; human	Human	Human	306473	PRJNA248792	I		219014
SAL_KB0670AA_AS	ST172957							SAL_VA9016AA			9		2016		Public Health England	Europe	United Kingdom	04/03/2019							04/03/2019	SAMN11046480	SRS4432264	SRP042645				Minnesota	Homo sapiens; human	Human	Human	299446	PRJNA248792	I		219016
SAL_KB3109AA_AS	ST173986							SAL_WA0567AA			11		2015		Public Health England	Europe	United Kingdom	11/03/2019							10/03/2019	SAMN11095694	SRS4469405	SRP042645				Minnesota	Homo sapiens; human	Human	Human	190767	PRJNA248792	I		220567
SAL_MB7175AA_AS	ST184825							SAL_XA3329AA			5		2019		Public Health England	Europe	United Kingdom	11/06/2019							11/06/2019	SAMN12008968	SRS4935312	SRP042645				Salmonella Minnesota	food	Food	ND/Others	752176	PRJNA248792	I		233329
SAL_MB7097AA_AS	ST184768							SAL_XA3396AA			5		2019		Public Health England	Europe	United Kingdom	11/06/2019							11/06/2019	SAMN12009352	SRS4935127	SRP042645				Heidelberg	food	Food	ND/Others	752174	PRJNA248792	I		233396
SAL_MB8460AA_AS	ST186337							SAL_XA4383AA			4		2019		Public Health England	Europe	United Kingdom	13/06/2019							13/06/2019	SAMN12041484	SRS4957968	SRP042645				Salmonella Minnesota	Homo sapiens; human	Human	Human	728774	PRJNA248792	I		234383
SAL_MB8385AA_AS	ST186281							SAL_XA4458AA			4		2019		Public Health England	Europe	United Kingdom	13/06/2019							13/06/2019	SAMN12040648	SRS4957893	SRP042645				Minnesota	food	Food	ND/Others	735026	PRJNA248792	I		234458
SAL_MB8257AA_AS	ST186018							SAL_XA4586AA			4		2019		Public Health England	Europe	United Kingdom	13/06/2019							13/06/2019	SAMN12039415	SRS4956724	SRP042645				Salmonella Minnesota	food	Food	ND/Others	735025	PRJNA248792	I		234586
SAL_MB8734AA_AS	ST186473							SAL_XA4869AA			4		2019		Public Health England	Europe	United Kingdom	14/06/2019							14/06/2019	SAMN12053334	SRS4969625	SRP042645				Salmonella Minnesota	food	Food	ND/Others	734506	PRJNA248792	I		234869
SAL_NB1155AA_AS	ST187687							SAL_XA6506AA			6		2019		Public Health England	Europe	United Kingdom	23/06/2019							22/06/2019	SAMN12108749	SRS5002313	SRP042645				Salmonella Minnesota	food	Food	ND/Others	761627	PRJNA248792	I		236506
SAL_OB3422AA_AS	ST195416							SAL_YA4445AA							PulseNet Next Generation Subtyping Methods Unit	North America	United States	25/07/2019							24/07/2019	SAMN12354379	SRS5147338	SRP040281								PNUSAS084560	PRJNA230403			244445
SAL_QB7644AA_AS	ST201276							SAL_ZA2457AA			8		2019		Public Health England	Europe	United Kingdom	13/09/2019							13/09/2019	SAMN12739208	SRS5380666	SRP042645				Salmonella Minnesota	food	Food	ND/Others	801140	PRJNA248792	I		252457
SAL_QB9152AA_AS	ST201358							SAL_ZA2561AA			8		2019		Public Health England	Europe	United Kingdom	15/09/2019							14/09/2019	SAMN12747751	SRS5387161	SRP042645				Salmonella Minnesota	food	Food	ND/Others	801145	PRJNA248792	I		252561
SAL_RB2768AA_AS	ST202088							SAL_ZA3206AA			9		2019		Public Health England	Europe	United Kingdom	20/09/2019							19/09/2019	SAMN12783728	SRS5405059	SRP042645				Salmonella Minnesota	food	Food	ND/Others	804490	PRJNA248792	I		253206
SAL_RB2767AA_AS	ST202087							SAL_ZA3207AA			9		2019		Public Health England	Europe	United Kingdom	20/09/2019							19/09/2019	SAMN12783730	SRS5405058	SRP042645				Salmonella Minnesota	food	Food	ND/Others	804489	PRJNA248792	I		253207
SAL_RB2753AA_AS	ST202087							SAL_ZA3221AA			9		2019		Public Health England	Europe	United Kingdom	20/09/2019							19/09/2019	SAMN12783721	SRS5405044	SRP042645				Salmonella Minnesota	food	Food	ND/Others	804491	PRJNA248792	I		253221
SAL_RB2643AA_AS	ST201973							SAL_ZA3320AA			9		2019		Public Health England	Europe	United Kingdom	20/09/2019							18/09/2019	SAMN12776336	SRS5399566	SRP042645				Salmonella Minnesota	food	Food	ND/Others	804492	PRJNA248792	I		253320
SAL_RB2612AA_AS	ST201989							SAL_ZA3351AA			9		2019		Public Health England	Europe	United Kingdom	20/09/2019							18/09/2019	SAMN12776416	SRS5399533	SRP042645				Salmonella Minnesota	food	Food	ND/Others	804488	PRJNA248792	I		253351
SAL_SB7194AA_AS	ST206201							SAL_ZA9963AA			9		2019		Public Health England	Europe	United Kingdom	18/10/2019							10/10/2019	SAMN13002607	SRS5497727	SRP042645				Salmonella Minnesota	Homo sapiens; human	Human	Human	815521	PRJNA248792	I		259963
SAL_VB0280AA_AS	ST214244							SAL_AB8827AA					2018		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165570	ERS3965573	ERP115212				Minnesota	Food	Food	ND/Others	Se-S1109-18	PRJEB32515			268827
SAL_VB0276AA_AS	ST214246							SAL_AB8831AA					2018		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165566	ERS3965569	ERP115212				Minnesota	Food	Food	ND/Others	Se-S1035-18	PRJEB32515			268831
SAL_VB0272AA_AS	ST214250							SAL_AB8835AA					2013		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165562	ERS3965565	ERP115212				Minnesota	Food	Food	ND/Others	Se-71-13	PRJEB32515			268835
SAL_VB0270AA_AS	ST214268							SAL_AB8837AA					2013		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165560	ERS3965563	ERP115212				Minnesota	Food	Food	ND/Others	Se-69-13	PRJEB32515			268837
SAL_VB0268AA_AS	ST214272							SAL_AB8839AA					2014		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165558	ERS3965561	ERP115212				Minnesota	Food	Food	ND/Others	Se-58-14	PRJEB32515			268839
SAL_VB0264AA_AS	ST214254							SAL_AB8843AA					2012		NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE	Europe	Portugal	13/11/2019							09/11/2019	SAMEA6165554	ERS3965557	ERP115212				Minnesota	Food	Food	ND/Others	Se-345-12	PRJEB32515			268843
SAL_WB3269AA_AS	ST218024							SAL_BB3789AA			11		2019		Public Health England	Europe	United Kingdom	10/12/2019							07/12/2019	SAMN13502518	SRS5773896	SRP042645				Minnesota	Homo sapiens; human	Human	Human	850126	PRJNA248792	I		273789
SAL_XB8439AA_AS	ST214262							SAL_BB8770AA					2012		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0067				278770
SAL_XB8460AA_AS	ST214248							SAL_BB8778AA					2013		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0076				278778
SAL_XB8469AA_AS	ST214239							SAL_BB8787AA					2019		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0085				278787
SAL_XB8470AA_AS	ST214472							SAL_BB8788AA					2019		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0087				278788
SAL_XB8471AA_AS	ST221351							SAL_BB8789AA					2019		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0086				278789
